Depart,Arrivee,Distance
LAX,ATL,3125785.73436
LAX,AUS,1994355.28468
LAX,BDL,4057334.03565
LAX,BNA,2886326.035
LAX,BOS,4193035.23259
LAX,CMH,3204072.12388
LAX,DCA,3710902.05716
LAX,DEN,1385127.14281
LAX,DFW,1983181.45444
LAX,ELP,1147577.13869
LAX,FAT,336729.986015
LAX,GDL,2105682.36526
LAX,HNL,4108157.25139
LAX,IAH,2215076.03365
LAX,IND,2912884.92278
LAX,JFK,3974199.96223
LAX,KOA,4025630.7802
LAX,LIH,4203008.34214
LAX,LTO,1114887.05173
LAX,MCO,3562322.42849
LAX,MEX,2500009.48735
LAX,MFR,1015203.94853
LAX,MIA,3762637.4812
LAX,MMH,411194.903678
LAX,MRY,428560.736283
LAX,MSY,2682860.36637
LAX,MZT,1683604.6512
LAX,OGG,3995446.75696
LAX,OKC,1906210.54372
LAX,ORD,2802117.19265
LAX,PDX,1343075.28882
LAX,PHX,594407.081705
LAX,PIT,3430046.00698
LAX,PVR,1961776.51423
LAX,RDU,3594539.16699
LAX,RNO,629616.691636
LAX,SAF,1139572.53632
LAX,SAN,175732.779335
LAX,SEA,1536909.85224
LAX,SFO,543172.835017
LAX,SJD,1468102.86483
LAX,SMF,600407.045886
LAX,STL,2556766.05041
LAX,STS,643192.671451
LAX,TUS,724931.24809
LAX,YVR,1740888.19765
LAX,ZIH,2478745.99866
LAX,ZLO,2141270.36767
LGB,PDX,1362431.95726
LGB,SEA,1555196.16229
LIH,LAX,4203008.34214
LIH,OAK,3950224.78716
LIH,SAN,4300518.96254
LIH,SEA,4345010.44685
LIH,SJC,3964553.53288
LTO,LAX,1114887.05173
LWS,BOI,318627.551868
LWS,PUW,41697.713878
LWS,SEA,419401.730102
MCG,ANC,352667.558322
MCG,ANI,254391.782723
MCI,SEA,2391623.88621
MCO,LAX,3562322.42849
MCO,SAN,3451530.63973
MCO,SEA,4104709.51989
MEM,ATL,532792.446092
MEX,LAX,2500009.48735
MFR,LAX,1015203.94853
MFR,PDX,358116.277709
MFR,SEA,566030.703997
MIA,ATL,959061.870167
MIA,LAX,3762637.4812
MIA,SFO,4153694.73046
MMH,LAX,411194.903678
MRY,LAX,428560.736283
MRY,SAN,603766.25597
MSO,PDX,670176.340632
MSO,SEA,623655.48217
MSP,LAX,2467298.41431
MSP,SAN,2462775.53424
MSP,SEA,2244835.69381
MSY,ATL,683578.369439
MSY,LAX,2682860.36637
MSY,SLC,2296218.59203
MZT,LAX,1683604.6512
OAK,HNL,3873276.6246
OAK,KOA,3824858.82349
OAK,LIH,3950224.78716
OAK,OGG,3777017.21846
OAK,PDX,875376.749193
OAK,SEA,1081697.43977
OGG,LAX,3995446.75696
OGG,OAK,3777017.21846
OGG,PDX,4122259.79804
OGG,SAN,4083493.33776
OGG,SEA,4248367.50951
OGG,SJC,3787914.66065
OGG,SMF,3866202.44268
OKC,LAX,1906210.54372
OMA,SEA,2195410.66752
OME,ANC,864532.201028
OME,OTZ,294147.845807
ONT,PDX,1350783.39627
ONT,SEA,1540369.6408
ORD,ANC,4568394.11417
ORD,LAX,2802117.19265
ORD,MSY,1349251.23891
ORD,PDX,2791613.30118
ORD,SAN,2768039.88398
ORD,SEA,2761771.48782
ORD,SFO,2963951.59851
ORF,ATL,829702.067844
OTZ,ANC,879917.402909
OTZ,OME,294147.845807
PBG,BOS,322613.570576
PBI,ATL,878002.814593
PDX,ANC,2476767.89274
PDX,ATL,3489124.64921
PDX,BIL,1090777.10878
PDX,BLI,356294.218252
PDX,BOI,552600.689856
PDX,BOS,4072281.07854
PDX,BUR,1316400.11322
PDX,DCA,3773186.38709
PDX,DFW,2597014.8317
PDX,DTW,3134905.80385
PDX,EUG,169855.252559
PDX,FAT,1008911.10773
PDX,GEG,447808.31205
PDX,HNL,4188217.79416
PDX,LAS,1227639.21102
PDX,LAX,1343075.28882
PDX,LGB,1362431.95726
PDX,MFR,358116.277709
PDX,MSO,670176.340632
PDX,OAK,875376.749193
PDX,OGG,4122259.79804
PDX,ONT,1350783.39627
PDX,ORD,2791613.30118
PDX,PHX,1625085.86295
PDX,PSC,279319.382575
PDX,PSP,1406450.99848
PDX,RDM,187113.160298
PDX,RNO,715580.912321
PDX,SAN,1502616.88567
PDX,SBA,1263015.73831
PDX,SEA,208025.066414
PDX,SFO,886387.990425
PDX,SJC,916387.123387
PDX,SLC,1011735.72896
PDX,SMF,770962.916504
PDX,SNA,1384532.94033
PDX,STS,787431.584871
PDX,TUS,1802184.29233
PDX,YVR,403300.206025
PHL,SEA,3817671.37573
PHX,LAX,594407.081705
PHX,PDX,1625085.86295
PHX,SEA,1781855.03712
PIT,LAX,3430046.00698
PNS,ATL,437339.999136
PQI,BOS,534983.433364
PSC,PDX,279319.382575
PSC,SEA,275991.292303
PSG,JNU,198195.255497
PSG,WRG,49824.3799579
PSP,PDX,1406450.99848
PSP,SEA,1590409.99454
PSP,SFO,676616.73721
PSP,SMF,707204.222222
PUW,LWS,41697.713878
PUW,SEA,401259.073027
PVR,LAX,1961776.51423
PVR,SAN,1786558.88227
PVR,SFO,2503582.72841
RDM,PDX,187113.160298
RDM,SEA,366419.745131
RDU,ATL,572248.504555
RDU,LAX,3594539.16699
RNO,LAX,629616.691636
RNO,PDX,715580.912321
RNO,SEA,907319.757637
RNO,SJC,303076.046206
RSW,ATL,830268.007127
SAF,LAX,1139572.53632
SAN,ATL,3037656.2252
SAN,BOI,1207269.05624
SAN,BOS,4155871.68793
SAN,DFW,1880400.77969
SAN,DTW,3142158.56257
SAN,FAT,505342.271515
SAN,HNL,4200688.84476
SAN,JFK,3928009.46923
SAN,LAX,175732.779335
SAN,LIH,4300518.96254
SAN,MCO,3451530.63973
SAN,MRY,603766.25597
SAN,MSP,2462775.53424
SAN,OGG,4083493.33776
SAN,ORD,2768039.88398
SAN,PDX,1502616.88567
SAN,PVR,1786558.88227
SAN,SEA,1692265.93586
SAN,SJD,1292640.44942
SAN,SLC,1008345.84903
SAN,STS,818617.428034
SAT,SEA,2854249.66965
SAV,ATL,344797.174007
SBA,PDX,1263015.73831
SBA,SEA,1462635.72991
SCC,ANC,1005389.07238
SCC,BRW,327395.697858
SDP,ANC,894592.3387
SEA,ALW,341208.008879
SEA,ANC,2325640.85423
SEA,ATL,3505000.89703
SEA,AUS,2847390.50133
SEA,BIL,1065812.95677
SEA,BLI,150369.081727
SEA,BOI,641160.976434
SEA,BOS,4005530.89135
SEA,BUR,1509650.72848
SEA,BZN,870813.356562
SEA,COS,1715839.03587
SEA,DCA,3738164.99011
SEA,DEN,1645077.24714
SEA,DFW,2668171.56525
SEA,EAT,158331.816346
SEA,EUG,376218.564939
SEA,EWR,3854839.78951
SEA,FAI,2461575.24593
SEA,FAT,1205664.81655
SEA,FCA,607889.343418
SEA,FLL,4367627.58733
SEA,GEG,358954.775909
SEA,GTF,821601.963151
SEA,HNL,4307940.40914
SEA,IAH,3013419.61103
SEA,JFK,3886661.6448
SEA,JNU,1460516.25119
SEA,KOA,4326696.92256
SEA,KTN,1092743.77259
SEA,LAS,1395115.75586
SEA,LAX,1536909.85224
SEA,LGB,1555196.16229
SEA,LIH,4345010.44685
SEA,LWS,419401.730102
SEA,MCI,2391623.88621
SEA,MCO,4104709.51989
SEA,MFR,566030.703997
SEA,MSO,623655.48217
SEA,MSP,2244835.69381
SEA,OAK,1081697.43977
SEA,OGG,4248367.50951
SEA,OMA,2195410.66752
SEA,ONT,1540369.6408
SEA,ORD,2761771.48782
SEA,PDX,208025.066414
SEA,PHL,3817671.37573
SEA,PHX,1781855.03712
SEA,PSC,275991.292303
SEA,PSP,1590409.99454
SEA,PUW,401259.073027
SEA,RDM,366419.745131
SEA,RNO,907319.757637
SEA,SAN,1692265.93586
SEA,SAT,2854249.66965
SEA,SBA,1462635.72991
SEA,SFO,1093062.33693
SEA,SJC,1121987.09911
SEA,SLC,1106746.67978
SEA,SMF,975089.918451
SEA,SNA,1576105.07877
SEA,STL,2744365.99173
SEA,STS,994922.653529
SEA,TUS,1957501.2801
SEA,YEG,897565.441877
SEA,YKM,165848.828979
SEA,YLW,352074.689435
SEA,YVR,204524.440387
SEA,YYC,725674.639294
SEA,YYJ,156942.035454
SFO,DFW,2351930.42683
SFO,JFK,4151777.2084
SFO,LAX,543172.835017
SFO,MIA,4153694.73046
SFO,ORD,2963951.59851
SFO,PDX,886387.990425
SFO,PSP,676616.73721
SFO,PVR,2503582.72841
SFO,SEA,1093062.33693
SFO,SJD,2010862.9997
SIT,JNU,152724.279919
SIT,KTN,293687.519344
SJC,BOI,841298.731418
SJC,GDL,2595455.18063
SJC,HNL,3885823.33293
SJC,KOA,3834117.72606
SJC,LAX,495723.856178
SJC,LIH,3964553.53288
SJC,OGG,3787914.66065
SJC,PDX,916387.123387
SJC,RNO,303076.046206
SJC,SEA,1121987.09911
SJC,SJD,1963706.81348
SJD,LAX,1468102.86483
SJD,SAN,1292640.44942
SJD,SFO,2010862.9997
SJD,SJC,1963706.81348
SLC,ATL,2553587.22612
SLC,CVG,2327621.12373
SLC,LAX,949328.221816
SLC,MSY,2296218.59203
SLC,PDX,1011735.72896
SLC,SAN,1008345.84903
SLC,SEA,1106746.67978
SMF,BOI,703405.641623
SMF,LAX,600407.045886
SMF,OGG,3866202.44268
SMF,PDX,770962.916504
SMF,PSP,707204.222222
SMF,SEA,975089.918451
SNA,DFW,1934879.73698
SNA,PDX,1384532.94033
SNA,SEA,1576105.07877
SNP,ANC,1229419.00672
STG,ANC,1234344.22624
STL,LAX,2556766.05041
STL,SEA,2744365.99173
STS,LAX,643192.671451
STS,PDX,787431.584871
STS,SAN,818617.428034
STS,SEA,994922.653529
TUS,LAX,724931.24809
TUS,PDX,1802184.29233
TUS,SEA,1957501.2801
TYS,ATL,244997.572493
UNK,ANC,629799.837434
VDZ,ANC,201090.815825
WRG,KTN,132001.751902
WRG,PSG,49824.3799579
YAK,CDV,364049.207141
YAK,JNU,296477.468322
YEG,SEA,897565.441877
YKM,SEA,165848.828979
YLW,SEA,352074.689435
YVR,LAX,1740888.19765
YVR,PDX,403300.206025
YVR,SEA,204524.440387
YYC,SEA,725674.639294
YYJ,SEA,156942.035454
ZIH,LAX,2478745.99866
ZLO,LAX,2141270.36767
ABJ,CMN,3148161.09286
ACC,CMN,3180989.24462
AGA,BRU,2560524.91009
AGA,CMN,379946.903808
AGA,EUN,507011.060953
AGA,ORY,2274573.08587
AGA,VIL,973626.97872
AGP,CMN,463048.074541
AHU,CMN,399020.471564
ALG,CMN,1050209.79047
AMS,CMN,2327106.54554
AMS,NDR,2022507.56471
AMS,TNG,2026956.89742
ARN,CMN,3467937.60942
AUH,CMN,6052777.31344
AUH,SIN,5885788.08563
BCN,CMN,1226516.81221
BCN,TNG,930672.036801
BEY,CMN,3960465.3174
BGF,CMN,4205678.2121
BJL,CMN,2408784.80857
BJL,OXB,193619.547269
BJL,RAI,758445.405373
BKO,CMN,2316914.75301
BLQ,CMN,2042690.92609
BOD,CMN,1404391.2053
BOD,RAK,1601553.97802
BRU,AGA,2560524.91009
BRU,CMN,2182666.05915
BRU,NDR,1869694.99708
BRU,OUD,1864669.72396
BRU,RAK,2379516.99226
BRU,TNG,1881241.9796
BZV,CMN,4824086.76779
BZV,PNR,378396.448891
CAI,CMN,3683727.8389
CAI,RUH,1611720.33559
CKY,CMN,2716271.09029
CMN,ABJ,3148161.09286
CMN,AGA,379946.903808
CMN,AGP,463048.074541
CMN,ALG,1050209.79047
CMN,AMS,2327106.54554
CMN,ARN,3467937.60942
CMN,AUH,6052777.31344
CMN,BCN,1226516.81221
CMN,BEY,3960465.3174
CMN,BJL,2408784.80857
CMN,BKO,2316914.75301
CMN,BLQ,2042690.92609
CMN,BOD,1404391.2053
CMN,BRU,2182666.05915
CMN,BZV,4824086.76779
CMN,CAI,3683727.8389
CMN,CKY,2716271.09029
CMN,COO,3174887.37979
CMN,DKR,2299169.4749
CMN,DLA,3725859.92295
CMN,EUN,877141.019915
CMN,FCO,1977317.89524
CMN,FEZ,249658.115152
CMN,FIH,4847264.57797
CMN,FNA,2811673.66144
CMN,FRA,2275371.5654
CMN,GLN,
CMN,GRU,7539211.29219
CMN,GVA,1843135.58577
CMN,IST,3308744.16896
CMN,JED,4747451.80797
CMN,JFK,5794971.19128
CMN,LAD,5185855.28852
CMN,LBV,4067411.07268
CMN,LFW,3159545.43444
CMN,LGW,2066200.39611
CMN,LHR,2094585.92037
CMN,LIS,617787.273587
CMN,LPA,959424.788645
CMN,LYS,1747796.37387
CMN,MAD,869074.578082
CMN,MRS,1576985.55764
CMN,MUC,2317726.45372
CMN,MXP,1947192.0307
CMN,NCE,1718235.47332
CMN,NDR,456665.311981
CMN,NIM,2422356.72971
CMN,NKC,1891158.59227
CMN,NSI,3848627.43297
CMN,NTE,1613438.73156
CMN,ORY,1896833.22308
CMN,OUA,2416834.53362
CMN,OUD,545101.699293
CMN,OXB,2524548.18617
CMN,OZZ,277520.925656
CMN,PNR,4715054.1014
CMN,RAI,2602017.29995
CMN,RAK,200192.965199
CMN,RBA,108624.921447
CMN,ROB,3030673.20086
CMN,SSG,3701737.29356
CMN,SVO,4243422.74674
CMN,SXB,2108000.58039
CMN,TFN,995323.460296
CMN,TIP,1933016.40502
CMN,TLS,1379827.19305
CMN,TNG,303815.037633
CMN,TRN,1851799.75972
CMN,TTU,323402.010004
CMN,TUN,1663646.71996
CMN,TXL,2706949.84933
CMN,VIL,1346085.09468
CMN,VLC,930930.379641
CMN,YUL,5674376.94802
CMN,ZRH,2070942.10528
COO,LOS,106359.941149
CPH,CMN,2925687.20062
DKR,CMN,2299169.4749
DLA,BGF,976775.511022
DLA,CMN,3725859.92295
DLA,NSI,205872.326562
ESU,ORY,2176183.16784
EUN,AGA,507011.060953
EUN,CMN,877141.019915
FCO,CMN,1977317.89524
FEZ,CMN,249658.115152
FEZ,ORY,1753786.99767
FIH,BZV,25946.3652935
FNA,CMN,2811673.66144
FNA,ROB,409593.981451
FRA,CMN,2275371.5654
FRA,NDR,1917283.23672
GLN,TTA,
GRU,CMN,7539211.29219
GVA,CMN,1843135.58577
IST,CMN,3308744.16896
JED,CMN,4747451.80797
JFK,CMN,5794971.19128
LAD,CMN,5185855.28852
LBV,CMN,4067411.07268
LBV,SSG,374814.535405
LFW,ACC,169107.857988
LGW,CMN,2066200.39611
LGW,RAK,2266219.60753
LHR,CMN,2094585.92037
LHR,TNG,1804357.49947
LIS,CMN,617787.273587
LOS,CMN,3184403.52265
LPA,CMN,959424.788645
LPA,TFN,111833.900303
LYS,CMN,1747796.37387
LYS,RAK,1934522.0893
MAD,CMN,869074.578082
MAD,RAK,1066318.30846
MAD,TNG,568448.172753
MRS,CMN,1576985.55764
MRS,RAK,1754913.46102
MUC,CMN,2317726.45372
MUC,RAK,2498993.57839
MXP,CMN,1947192.0307
MXP,RAK,2125090.45253
NCE,CMN,1718235.47332
NCE,RAK,1891338.22731
NDR,AMS,2022507.56471
NDR,BRU,1869694.99708
NDR,CMN,456665.311981
NDR,FRA,1917283.23672
NIM,CMN,2422356.72971
NIM,OUA,419758.36475
NKC,CMN,1891158.59227
NSI,CMN,3848627.43297
NSI,DLA,205872.326562
NTE,CMN,1613438.73156
NTE,RAK,1813144.62369
ORY,AGA,2274573.08587
ORY,CMN,1896833.22308
ORY,ESU,2176183.16784
ORY,FEZ,1753786.99767
ORY,OUD,1589381.00406
ORY,OZZ,2126423.05412
ORY,RAK,2093881.67247
ORY,RBA,1796915.51887
ORY,TNG,1595663.76117
OUA,CMN,2416834.53362
OUA,NIM,419758.36475
OUD,BRU,1864669.72396
OUD,CMN,545101.699293
OUD,ORY,1589381.00406
OXB,BJL,193619.547269
OXB,CMN,2524548.18617
OXB,RAI,912307.560272
OZZ,CMN,277520.925656
OZZ,ORY,2126423.05412
PNR,BZV,378396.448891
PNR,CMN,4715054.1014
RAI,BJL,758445.405373
RAI,CMN,2602017.29995
RAI,OXB,912307.560272
RAK,BOD,1601553.97802
RAK,BRU,2379516.99226
RAK,CMN,200192.965199
RAK,LGW,2266219.60753
RAK,LYS,1934522.0893
RAK,MAD,1066318.30846
RAK,MRS,1754913.46102
RAK,MUC,2498993.57839
RAK,MXP,2125090.45253
RAK,NCE,1891338.22731
RAK,NTE,1813144.62369
RAK,ORY,2093881.67247
RAK,TLS,1570013.57788
RBA,CMN,108624.921447
RBA,ORY,1796915.51887
ROB,CMN,3030673.20086
ROB,FNA,409593.981451
RUH,CAI,1611720.33559
SIN,AUH,5885788.08563
SSG,CMN,3701737.29356
SSG,LBV,374814.535405
SVO,CMN,4243422.74674
SXB,CMN,2108000.58039
TFN,CMN,995323.460296
TIP,CMN,1933016.40502
TLS,CMN,1379827.19305
TLS,RAK,1570013.57788
TNG,AMS,2026956.89742
TNG,BCN,930672.036801
TNG,BRU,1881241.9796
TNG,CMN,303815.037633
TNG,LHR,1804357.49947
TNG,MAD,568448.172753
TNG,ORY,1595663.76117
TRN,CMN,1851799.75972
TTA,CMN,644316.269502
TTU,AHU,142003.362062
TUN,CMN,1663646.71996
TXL,CPH,342542.6898
VIL,AGA,973626.97872
VIL,CMN,1346085.09468
VLC,CMN,930930.379641
YUL,CMN,5674376.94802
ZRH,CMN,2070942.10528
ADZ,BOG,1207658.11997
ANF,LIM,1452567.17006
ANF,SCL,1106721.69067
APO,EOH,199436.854014
ASU,LIM,2528532.93743
AUA,BOG,978884.168521
AUC,BOG,459926.697054
AXM,BOG,181625.367725
BAQ,BOG,691604.541894
BAQ,CLO,835720.635131
BAQ,MDE,530125.362532
BAQ,MIA,1755551.34048
BCN,BOG,8513398.90251
BGA,BOG,289874.926547
BGA,MDE,269365.362355
BOG,ADZ,1207658.11997
BOG,AUA,978884.168521
BOG,AUC,459926.697054
BOG,AXM,181625.367725
BOG,BAQ,691604.541894
BOG,BCN,8513398.90251
BOG,BGA,289874.926547
BOG,BUN,330133.089155
BOG,CCS,1025680.98469
BOG,CLO,279306.132074
BOG,CTG,655848.488225
BOG,CUC,401663.945751
BOG,CUN,2277747.6458
BOG,CUR,1009027.73617
BOG,CZU,530062.506145
BOG,EJA,261002.318472
BOG,EWR,4002006.74119
BOG,EYP,207003.681282
BOG,EZE,4688880.28757
BOG,FLA,380176.289614
BOG,FLL,2460822.06831
BOG,FRA,9085115.50547
BOG,GIG,4541547.47342
BOG,GRU,4335892.33385
BOG,GUA,2102986.94074
BOG,GYE,993930.742381
BOG,HAV,2218706.00175
BOG,IAD,3822247.34024
BOG,IAH,3584944.69679
BOG,IBE,113676.275732
BOG,JFK,3996310.07638
BOG,LET,1093784.5855
BOG,LIM,1888288.81726
BOG,LPB,2448160.66853
BOG,MAD,8031422.85483
BOG,MCO,2744672.00075
BOG,MDE,215446.399566
BOG,MEX,3158902.19166
BOG,MIA,2434894.3717
BOG,MTR,494416.638122
BOG,MZL,150486.712041
BOG,NVA,232642.674779
BOG,PCR,754743.709599
BOG,PDA,698030.950863
BOG,PEI,176907.552104
BOG,PPN,370276.6905
BOG,PSO,506915.404634
BOG,PTY,755043.156861
BOG,PUJ,1664846.27091
BOG,RCH,770660.491789
BOG,SAL,1902178.084
BOG,SCL,4250681.97528
BOG,SDQ,1602142.35861
BOG,SJE,289232.039924
BOG,SJO,1255639.40698
BOG,SJU,1765351.59966
BOG,SMR,713714.736182
BOG,UIB,297297.388733
BOG,UIO,722832.062633
BOG,VUP,645152.534786
BOG,VVC,83761.7041041
BOG,YYZ,4367197.33214
BUN,BOG,330133.089155
BZE,SAL,462681.574989
CCS,BOG,1025680.98469
CCS,LIM,2753121.75186
CLO,BAQ,835720.635131
CLO,BOG,279306.132074
CLO,CTG,773110.880403
CLO,GPI,200201.611971
CLO,GYE,743836.884721
CLO,LIM,1732655.69593
CLO,MAD,8302820.36579
CLO,MDE,310215.91762
CLO,MIA,2509031.86785
CLO,PSO,259248.198288
CLO,SAL,1774471.61577
CLO,TCO,325742.983426
CLT,SJO,2823824.26271
CTG,BOG,655848.488225
CTG,CLO,773110.880403
CTG,MDE,475777.314472
CTG,MIA,1779475.93499
CUC,BOG,401663.945751
CUC,MDE,376378.890324
CUN,BOG,2277747.6458
CUN,SAL,875650.396999
CUR,BOG,1009027.73617
CZU,BOG,530062.506145
DFW,SAL,2309980.27465
EJA,BOG,261002.318472
EOH,APO,199436.854014
EOH,UIB,130247.747709
EWR,BOG,4002006.74119
EWR,SAL,3358381.83998
EYP,BOG,207003.681282
EZE,BOG,4688880.28757
EZE,LIM,3152969.80433
FLA,BOG,380176.289614
FLL,BOG,2460822.06831
FRA,BOG,9085115.50547
GIG,BOG,4541547.47342
GIG,LIM,3777312.27234
GPI,CLO,200201.611971
GRU,BOG,4335892.33385
GRU,LIM,3474899.04188
GUA,BOG,2102986.94074
GUA,LAX,3531499.86068
GUA,MIA,1640014.69868
GUA,SAL,203333.95803
GUA,SAP,295885.273983
GUA,SJO,855223.042233
GUA,TGU,361341.084831
GYE,BOG,993930.742381
GYE,CLO,743836.884721
GYE,LIM,1138540.92694
GYE,SAL,2007960.91728
HAV,BOG,2218706.00175
IAD,BOG,3822247.34024
IAD,SAL,3056516.61699
IAH,BOG,3584944.69679
IAH,SAL,1949669.28217
IBE,BOG,113676.275732
JFK,BOG,3996310.07638
JFK,MDE,3836963.62902
JFK,SAL,3369821.61808
JFK,SAP,3116158.44656
LAX,GUA,3531499.86068
LAX,SAL,3734352.81056
LET,BOG,1093784.5855
LIM,ANF,1452567.17006
LIM,ASU,2528532.93743
LIM,BOG,1888288.81726
LIM,CCS,2753121.75186
LIM,CLO,1732655.69593
LIM,EZE,3152969.80433
LIM,GIG,3777312.27234
LIM,GRU,3474899.04188
LIM,GYE,1138540.92694
LIM,LPB,1083146.06839
LIM,MDE,2030866.78109
LIM,MEX,4244985.74742
LIM,MIA,4218888.75462
LIM,MVD,3310448.45018
LIM,POA,3338148.53021
LIM,SAL,3122527.40641
LIM,SCL,2461891.64966
LIM,SDQ,3483149.29496
LIM,SJO,2570474.27976
LIM,UIO,1329751.76859
LIM,VVI,1626577.67696
LIR,SAL,496048.301579
LPB,BOG,2448160.66853
LPB,LIM,1083146.06839
MAD,BOG,8031422.85483
MAD,CLO,8302820.36579
MAD,MDE,8031753.2128
MCO,BOG,2744672.00075
MCO,SAL,1849190.50336
MDE,BAQ,530125.362532
MDE,BGA,269365.362355
MDE,BOG,215446.399566
MDE,CLO,310215.91762
MDE,CTG,475777.314472
MDE,CUC,376378.890324
MDE,JFK,3836963.62902
MDE,LIM,2030866.78109
MDE,MAD,8031753.2128
MDE,MIA,2243036.62654
MDE,SAL,1697744.76335
MDE,SMR,566353.543275
MEX,BOG,3158902.19166
MEX,LIM,4244985.74742
MEX,SAL,1258578.68646
MEX,SJO,1910424.69211
MEX,YYZ,3246669.5577
MIA,BAQ,1755551.34048
MIA,BOG,2434894.3717
MIA,CLO,2509031.86785
MIA,CTG,1779475.93499
MIA,GUA,1640014.69868
MIA,LIM,4218888.75462
MIA,MDE,2243036.62654
MIA,SAL,1650663.77766
MIA,SAP,1396618.86058
MTR,BOG,494416.638122
MVD,LIM,3310448.45018
MVP,VVC,495887.009418
MZL,BOG,150486.712041
NVA,BOG,232642.674779
ORD,SAL,3175187.16646
PCR,BOG,754743.709599
PDA,BOG,698030.950863
PEI,BOG,176907.552104
POA,LIM,3338148.53021
PPN,BOG,370276.6905
PSO,BOG,506915.404634
PSO,CLO,259248.198288
PTY,BOG,755043.156861
PTY,SAL,1161040.4814
PTY,SJO,538986.238067
PUJ,BOG,1664846.27091
RCH,BOG,770660.491789
RTB,SAL,419913.162906
SAL,BOG,1902178.084
SAL,BZE,462681.574989
SAL,CLO,1774471.61577
SAL,CUN,875650.396999
SAL,DFW,2309980.27465
SAL,EWR,3358381.83998
SAL,GUA,203333.95803
SAL,GYE,2007960.91728
SAL,IAD,3056516.61699
SAL,IAH,1949669.28217
SAL,JFK,3369821.61808
SAL,LAX,3734352.81056
SAL,LIM,3122527.40641
SAL,LIR,496048.301579
SAL,MCO,1849190.50336
SAL,MDE,1697744.76335
SAL,MEX,1258578.68646
SAL,MIA,1650663.77766
SAL,ORD,3175187.16646
SAL,PTY,1161040.4814
SAL,RTB,419913.162906
SAL,SAP,254750.141462
SAL,SFO,4249848.86978
SAL,SJO,652155.267327
SAL,TGU,210198.914466
SAL,UIO,1906939.25776
SAL,YYZ,3480386.4395
SAP,GUA,295885.273983
SAP,JFK,3116158.44656
SAP,MIA,1396618.86058
SAP,SAL,254750.141462
SAP,SJO,728446.335601
SCL,ANF,1106721.69067
SCL,BOG,4250681.97528
SCL,LIM,2461891.64966
SDQ,BOG,1602142.35861
SDQ,LIM,3483149.29496
SFO,SAL,4249848.86978
SJE,BOG,289232.039924
SJO,BOG,1255639.40698
SJO,CLT,2823824.26271
SJO,GUA,855223.042233
SJO,LIM,2570474.27976
SJO,MEX,1910424.69211
SJO,PTY,538986.238067
SJO,SAL,652155.267327
SJO,SAP,728446.335601
SJO,TGU,558126.337085
SJU,BOG,1765351.59966
SMR,BOG,713714.736182
SMR,MDE,566353.543275
TCO,CLO,325742.983426
TGU,GUA,361341.084831
TGU,SAL,210198.914466
TGU,SJO,558126.337085
UIB,BOG,297297.388733
UIB,EOH,130247.747709
UIO,BOG,722832.062633
UIO,LIM,1329751.76859
UIO,SAL,1906939.25776
VUP,BOG,645152.534786
VVC,BOG,83761.7041041
VVC,MVP,495887.009418
VVI,LIM,1626577.67696
YYZ,BOG,4367197.33214
YYZ,MEX,3246669.5577
YYZ,SAL,3480386.4395
ACC,KMS,200001.584871
ACC,LOS,400511.002592
ACC,TML,446094.343167
KMS,ACC,200001.584871
LOS,ACC,400511.002592
TML,ACC,446094.343167
AGP,HEL,3352640.90636
AMS,HEL,1521305.63458
AMS,LIS,1846297.02949
AMS,OPO,1594977.76314
ARN,HEL,398569.299996
ARN,LHR,1461966.51804
ARN,TXL,838778.391488
ARN,VIE,1286348.09806
ATL,LHR,6760553.30015
AUS,LHR,7892391.93218
AYT,HEL,2636737.76055
BCN,HEL,2628059.86779
BCN,JFK,6150233.00993
BCN,MIA,7544845.79141
BKK,HEL,7907815.99812
BMA,GOT,378677.865132
BMA,HEL,406449.312119
BMA,MMX,505315.573109
BMA,UME,508659.497752
BNE,CNS,1391128.33419
BNE,HKG,6948043.69629
BOS,LHR,5239443.60846
BOS,MAD,5473021.90096
BRU,HEL,1646517.28775
BRU,LIS,1717467.21366
BUD,HEL,1478936.25717
BWI,LHR,5833180.45477
CDG,DFW,7944055.28451
CDG,HEL,1895562.84735
CDG,JFK,5833655.54925
CDG,MIA,7371465.13157
CDG,ORD,6664211.42846
CGN,TXL,463174.381477
CKG,HEL,6723506.22337
CNS,BNE,1391128.33419
CNS,HKG,5568067.37447
CPH,DUS,618995.761547
CPH,HEL,892136.484673
CPH,TXL,342542.6898
CPH,VIE,876645.813534
CTA,DUS,1670006.50389
CTA,MUC,1239391.47344
CTA,TXL,1683933.58608
DBV,HEL,2025679.94632
DEL,HEL,5223055.64238
DEN,LHR,7496061.79643
DFW,CDG,7944055.28451
DFW,FRA,8256943.89342
DFW,LHR,7626930.30302
DFW,MAD,7972456.18378
DME,HEL,937619.727742
DUB,JFK,5103026.75899
DUB,ORD,5895322.41732
DUS,CPH,618995.761547
DUS,CTA,1670006.50389
DUS,FLR,895487.8373
DUS,HEL,1507799.14013
DUS,ORD,6788409.0078
DUS,SZG,594349.570121
EWR,LHR,5561441.71084
FCO,HEL,2232977.19231
FCO,JFK,6866316.34963
FCO,ORD,7742082.8676
FLR,DUS,895487.8373
FLR,VIE,632614.901325
FRA,DFW,8256943.89342
FRA,HEL,1539710.06772
FRA,MAD,1418410.90207
GOT,BMA,378677.865132
GOT,HEL,782680.6593
